simnum,ntimes,family,var,ests,lower,upper
237,6,crude,prog,0.548,0.48604464273690806,0.6085025605115294
237,6,crude,die_wprog,0.344,0.28787477716960375,0.4048468122729748
237,6,crude,die_noprog,0.364,0.30683266748143884,0.425283589981322
237,6,crude,rmpfst,0.4845712537367184,0.4485823388488963,0.5205601686245405
237,6,crude,time2prog_gprog,0.40466388394371966,0.3671919052981178,0.4421358625893215
237,6,crude,time2prog_all,0.6928065641149592,0.6511648982252107,0.7344482300047077
237,6,crude,illnessdur,0.3209817705048336,0.27756080862749016,0.3644027323821771
238,6,crude,pfs,0.096,0.06536188077872193,0.13886582521359728
238,6,crude,prog,0.556,0.4940249224564253,0.616280148000085
238,6,crude,die_wprog,0.352,0.2954446480491309,0.41303480860152053
238,6,crude,die_noprog,0.348,0.29165747573175427,0.40894304731486075
238,6,crude,rmpfst,0.46848503252079976,0.4308606818793916,0.5061093831622079
238,6,crude,time2prog_gprog,0.4192536838407788,0.3813102535805532,0.45719711410100444
238,6,crude,time2prog_all,0.6980119155972045,0.6569891772357273,0.7390346539586818
238,6,crude,illnessdur,0.2948463045256053,0.2546966508069501,0.3349959582442605
239,6,crude,pfs,0.068,0.042885918578360334,0.10618925218570377
239,6,crude,prog,0.548,0.48604464273690806,0.6085025605115294
239,6,crude,die_wprog,0.324,0.2690297048761813,0.3842972165462151
239,6,crude,die_noprog,0.384,0.325899194520949,0.4456117309619941
239,6,crude,rmpfst,0.4638771410553356,0.42749961915822643,0.5002546629524448
239,6,crude,time2prog_gprog,0.42430613066172507,0.3829487204333707,0.46566354089007944
239,6,crude,time2prog_all,0.7075475143761559,0.6661437450895001,0.7489512836628117
239,6,crude,illnessdur,0.31691419372141383,0.27241986202066254,0.3614085254221651
240,6,crude,pfs,0.128,0.09214693307442184,0.1751122417501889
240,6,crude,prog,0.564,0.5020210030764015,0.6240419345881815
240,6,crude,die_wprog,0.36,0.3030322765929638,0.4212050472657606
240,6,crude,die_noprog,0.308,0.2540382619773145,0.36777292502893616
240,6,crude,rmpfst,0.49166371280150845,0.45379943716967136,0.5295279884333456
240,6,crude,time2prog_gprog,0.4207858567236671,0.3820270928477746,0.4595446205995596
240,6,crude,time2prog_all,0.68722436263078,0.6457681215772072,0.7286806036843528
240,6,crude,illnessdur,0.33316543197178056,0.2927919146389045,0.3735389493046566
241,6,crude,pfs,0.104,0.07196523249243102,0.14802034070796105
241,6,crude,prog,0.576,0.5140449538388132,0.6356547846378791
241,6,crude,die_wprog,0.344,0.28787477716960375,0.4048468122729748
241,6,crude,die_noprog,0.32,0.26527465872568123,0.38017332909267876
241,6,crude,rmpfst,0.4840113476763205,0.4489446918949153,0.5190780034577256
241,6,crude,time2prog_gprog,0.4375476314683051,0.4024884801885706,0.47260678274803963
241,6,crude,time2prog_all,0.6850266736222504,0.645236478029077,0.7248168692154239
241,6,crude,illnessdur,0.2979272878426068,0.2601320764969304,0.33572249918828323
242,6,crude,pfs,0.092,0.06208701511330673,0.13426175727497602
242,6,crude,prog,0.576,0.5140449538388132,0.6356547846378791
242,6,crude,die_wprog,0.356,0.29923625944437476,0.41712213081031313
242,6,crude,die_noprog,0.332,0.2765538920259373,0.39253089660453205
242,6,crude,rmpfst,0.48504044445661365,0.4477643822328309,0.5223165066803964
242,6,crude,time2prog_gprog,0.439045200315446,0.4011106801760649,0.47697972045482717
242,6,crude,time2prog_all,0.699328227369079,0.6591287535074271,0.7395277012307309
242,6,crude,illnessdur,0.34291106971992213,0.30130687153085106,0.3845152679089932
243,6,crude,pfs,0.1,0.06865492898829106,0.14345171060806458
243,6,crude,prog,0.564,0.5020210030764015,0.6240419345881815
243,6,crude,die_wprog,0.404,0.34507095342004057,0.46583464008308473
243,6,crude,die_noprog,0.336,0.28032294705210725,0.39664077518239854
243,6,crude,rmpfst,0.4482956869438287,0.4102921844032368,0.48629918948442064
243,6,crude,time2prog_gprog,0.38788994523447196,0.35105363125477707,0.42472625921416685
243,6,crude,time2prog_all,0.6743574508647386,0.631725193581848,0.7169897081476293
243,6,crude,illnessdur,0.31669037506982883,0.2754858020781154,0.35789494806154226
244,6,crude,pfs,0.092,0.06208701511330673,0.13426175727497602
244,6,crude,prog,0.472,0.4110100538102362,0.5338374109615085
244,6,crude,die_wprog,0.336,0.28032294705210725,0.39664077518239854
244,6,crude,die_noprog,0.436,0.3759580654118184,0.49797899692359837
244,6,crude,rmpfst,0.4578202390417433,0.4223176169975041,0.4933228610859825
244,6,crude,time2prog_gprog,0.3999386041407814,0.3601286420992522,0.4397485661823106
244,6,crude,time2prog_all,0.7263720034881961,0.6851155986848906,0.7676284082915016
244,6,crude,illnessdur,0.31942118768527844,0.27405450456594704,0.36478787080460984
245,6,crude,pfs,0.08,0.052382328372331775,0.12032964320384165
245,6,crude,prog,0.536,0.4741036818936376,0.5968067205426905
245,6,crude,die_wprog,0.344,0.28787477716960375,0.4048468122729748
245,6,crude,die_noprog,0.384,0.325899194520949,0.4456117309619941
245,6,crude,rmpfst,0.4651279425957195,0.43040198101191457,0.4998539041795244
245,6,crude,time2prog_gprog,0.4152846650980374,0.378536809820145,0.45203252037592984
245,6,crude,time2prog_all,0.695948025850979,0.6550034241139713,0.7368926275879868
245,6,crude,illnessdur,0.32563236393759676,0.28312403232561806,0.36814069554957546
246,6,crude,pfs,0.06,0.0366944108391085,0.0966228927168827
246,6,crude,prog,0.576,0.5140449538388132,0.6356547846378791
246,6,crude,die_wprog,0.336,0.28032294705210725,0.39664077518239854
246,6,crude,die_noprog,0.364,0.30683266748143884,0.425283589981322
246,6,crude,rmpfst,0.4655520892259593,0.42961321029920463,0.501490968152714
246,6,crude,time2prog_gprog,0.44182984428814737,0.40410093975913,0.47955874881716476
246,6,crude,time2prog_all,0.703053477161294,0.6631180364024406,0.7429889179201473
246,6,crude,illnessdur,0.34260269666838383,0.30101302487515463,0.38419236846161303
247,6,crude,pfs,0.1,0.06865492898829106,0.14345171060806458
247,6,crude,prog,0.544,0.48206040323620214,0.6046078664081989
247,6,crude,die_wprog,0.368,0.3106374013678842,0.42935778969891303
247,6,crude,die_noprog,0.356,0.29923625944437476,0.41712213081031313
247,6,crude,rmpfst,0.4782543709890806,0.44188066033780515,0.514628081640356
247,6,crude,time2prog_gprog,0.43497674321395235,0.39819355885388696,0.47175992757401775
247,6,crude,time2prog_all,0.7084479994983993,0.6686306047592027,0.748265394237596
247,6,crude,illnessdur,0.30807115498319043,0.26799850765693534,0.3481438023094455
248,6,crude,pfs,0.056,0.03364764921901089,0.09179072073294389
248,6,crude,prog,0.568,0.5060249967174062,0.6279168745512133
248,6,crude,die_wprog,0.372,0.31444644874453964,0.4334276759262941
248,6,crude,die_noprog,0.376,0.31825978130242794,0.4374932769724422
248,6,crude,rmpfst,0.4528702130579741,0.4184972689276723,0.4872431571882759
248,6,crude,time2prog_gprog,0.4228885015144177,0.38692660565955506,0.45885039736928035
248,6,crude,time2prog_all,0.6860513448238429,0.6454030025943948,0.726699687053291
248,6,crude,illnessdur,0.29369277207678174,0.2570780067956307,0.3303075373579328
249,6,crude,pfs,0.064,0.039774745277095874,0.10142149188293177
249,6,crude,prog,0.556,0.4940249224564253,0.616280148000085
249,6,crude,die_wprog,0.324,0.2690297048761813,0.3842972165462151
249,6,crude,die_noprog,0.38,0.3220773718978933,0.4415546199810133
249,6,crude,rmpfst,0.45547639428837045,0.42074806368561013,0.49020472489113076
249,6,crude,time2prog_gprog,0.42152224188561155,0.386043811788051,0.4570006719831721
249,6,crude,time2prog_all,0.6968776547480603,0.6565267961734735,0.737228513322647
249,6,crude,illnessdur,0.3384166502643616,0.29491175356650745,0.3819215469622157
250,6,crude,pfs,0.076,0.04919164066173633,0.11564139731040064
250,6,crude,prog,0.564,0.5020210030764015,0.6240419345881815
250,6,crude,die_wprog,0.356,0.29923625944437476,0.41712213081031313
250,6,crude,die_noprog,0.36,0.3030322765929638,0.4212050472657606
250,6,crude,rmpfst,0.47008514240210975,0.43438836158736377,0.5057819232168557
250,6,crude,time2prog_gprog,0.4273630945834683,0.3883733141469353,0.4663528750200012
250,6,crude,time2prog_all,0.6976477139400709,0.6566651750604852,0.7386302528196566
250,6,crude,illnessdur,0.32137270075644875,0.28106874367764234,0.36167665783525516
251,6,crude,pfs,0.068,0.042885918578360334,0.10618925218570377
251,6,crude,prog,0.58,0.5180609451155799,0.639517726965149
251,6,crude,die_wprog,0.376,0.31825978130242794,0.4374932769724422
251,6,crude,die_noprog,0.352,0.2954446480491309,0.41303480860152053
251,6,crude,rmpfst,0.4633967475788403,0.427779922066456,0.4990135730912246
251,6,crude,time2prog_gprog,0.41343586216130607,0.3771264730326174,0.4497452512899947
251,6,crude,time2prog_all,0.6926403917725242,0.6516443039723748,0.7336364795726736
251,6,crude,illnessdur,0.29212350738422305,0.25710897481369577,0.3271380399547503
252,6,crude,pfs,0.108,0.0752919484005553,0.1525725584038732
252,6,crude,prog,0.552,0.4900328126787554,0.6123933241737184
252,6,crude,die_wprog,0.364,0.30683266748143884,0.425283589981322
252,6,crude,die_noprog,0.34,0.28409658843703767,0.40074606740150454
252,6,crude,rmpfst,0.4442188028806937,0.40755903153444795,0.48087857422693947
252,6,crude,time2prog_gprog,0.38405966909400496,0.34882634048287353,0.4192929977051364
252,6,crude,time2prog_all,0.6723197439580102,0.6298602507718482,0.7147792371441722
252,6,crude,illnessdur,0.3550089685537078,0.3108303313258468,0.39918760578156876
253,6,crude,pfs,0.076,0.04919164066173633,0.11564139731040064
253,6,crude,prog,0.548,0.48604464273690806,0.6085025605115294
253,6,crude,die_wprog,0.408,0.34891768191191647,0.4698668451952452
253,6,crude,die_noprog,0.376,0.31825978130242794,0.4374932769724422
253,6,crude,rmpfst,0.42314006003495236,0.38898771308265834,0.4572924069872464
253,6,crude,time2prog_gprog,0.3990636347774707,0.3637419574174305,0.4343853121375109
253,6,crude,time2prog_all,0.680301853701614,0.6386518809759382,0.7219518264272898
253,6,crude,illnessdur,0.3101804558439616,0.27097534226383074,0.34938556942409243
254,6,crude,pfs,0.064,0.039774745277095874,0.10142149188293177
254,6,crude,prog,0.52,0.4582370772520494,0.5811575907681328
254,6,crude,die_wprog,0.292,0.23912535589430275,0.3511700966958021
254,6,crude,die_noprog,0.416,0.35662335915134685,0.4779190351638877
254,6,crude,rmpfst,0.47927687168305205,0.44510187232634496,0.5134518710397592
254,6,crude,time2prog_gprog,0.42474087540773636,0.38810677288119627,0.46137497793427645
254,6,crude,time2prog_all,0.7100694012054988,0.6699184767183883,0.7502203256926092
254,6,crude,illnessdur,0.343090078196187,0.2994655377850662,0.38671461860730777
255,6,crude,pfs,0.088,0.05883135595378163,0.12963848283046467
255,6,crude,prog,0.508,0.4463779498739719,0.569379917334101
255,6,crude,die_wprog,0.276,0.22429459991699932,0.3344851182569598
255,6,crude,die_noprog,0.404,0.34507095342004057,0.46583464008308473
255,6,crude,rmpfst,0.480945390130734,0.4447486718685114,0.5171421083929566
255,6,crude,time2prog_gprog,0.44958897110980894,0.4084983956606172,0.4906795465590007
255,6,crude,time2prog_all,0.7424076384793903,0.7033069681733662,0.7815083087854143
255,6,crude,illnessdur,0.30611136222738683,0.2658310933396644,0.34639163111510923
256,6,crude,pfs,0.084,0.055596038766644665,0.1249948664135652
256,6,crude,prog,0.56,0.4980209822582853,0.6201630218022615
256,6,crude,die_wprog,0.356,0.29923625944437476,0.41712213081031313
256,6,crude,die_noprog,0.356,0.29923625944437476,0.41712213081031313
256,6,crude,rmpfst,0.45489238928502856,0.4207353797126803,0.4890493988573768
256,6,crude,time2prog_gprog,0.4023423588151037,0.36831955021871676,0.4363651674114907
256,6,crude,time2prog_all,0.674874243195416,0.6335930871568318,0.7161553992340002
256,6,crude,illnessdur,0.31730672240526064,0.27213963033922345,0.36247381447129784
257,6,crude,pfs,0.08,0.052382328372331775,0.12032964320384165
257,6,crude,prog,0.544,0.48206040323620214,0.6046078664081989
257,6,crude,die_wprog,0.36,0.3030322765929638,0.4212050472657606
257,6,crude,die_noprog,0.376,0.31825978130242794,0.4374932769724422
257,6,crude,rmpfst,0.4478554778966222,0.41243406383455483,0.4832768919586896
257,6,crude,time2prog_gprog,0.4017775351217789,0.36531271679986155,0.4382423534436962
257,6,crude,time2prog_all,0.686531428403812,0.6448573915111901,0.7282054652964338
257,6,crude,illnessdur,0.34386306814837025,0.30289316159380514,0.38483297470293537
258,6,crude,pfs,0.076,0.04919164066173633,0.11564139731040064
258,6,crude,prog,0.512,0.4503271111274396,0.5733096896846697
258,6,crude,die_wprog,0.3,0.2465717791163956,0.3594815406817821
258,6,crude,die_noprog,0.412,0.35276848978585706,0.47389497092534105
258,6,crude,rmpfst,0.466071952710969,0.4316641309946996,0.5004797744272385
258,6,crude,time2prog_gprog,0.39380014275558006,0.3583466021128844,0.42925368339827574
258,6,crude,time2prog_all,0.7041744696647229,0.662819574994067,0.7455293643353788
258,6,crude,illnessdur,0.3213709968306309,0.2761055814870628,0.366636412174199
259,6,crude,pfs,0.06,0.0366944108391085,0.0966228927168827
259,6,crude,prog,0.532,0.47013118515223484,0.5929002836800568
259,6,crude,die_wprog,0.352,0.2954446480491309,0.41303480860152053
259,6,crude,die_noprog,0.408,0.34891768191191647,0.4698668451952452
259,6,crude,rmpfst,0.43470785681403784,0.3995307414240396,0.4698849722040361
259,6,crude,time2prog_gprog,0.4242116163628575,0.386009571821489,0.462413660904226
259,6,crude,time2prog_all,0.7028931940432344,0.6621392598042802,0.7436471282821885
259,6,crude,illnessdur,0.3174552397469882,0.2753335132622684,0.359576966231708
260,6,crude,pfs,0.096,0.06536188077872193,0.13886582521359728
260,6,crude,prog,0.536,0.4741036818936376,0.5968067205426905
260,6,crude,die_wprog,0.364,0.30683266748143884,0.425283589981322
260,6,crude,die_noprog,0.368,0.3106374013678842,0.42935778969891303
260,6,crude,rmpfst,0.46997045172715873,0.43165842021441386,0.5082824832399035
260,6,crude,time2prog_gprog,0.4224857857955938,0.37964294282332395,0.4653286287678637
260,6,crude,time2prog_all,0.7089328360409789,0.6671305946822979,0.75073507739966
260,6,crude,illnessdur,0.28740394001098274,0.24804004932686496,0.3267678306951005
261,6,crude,pfs,0.072,0.04602556925826497,0.11092853510983555
261,6,crude,prog,0.564,0.5020210030764015,0.6240419345881815
261,6,crude,die_wprog,0.392,0.33355543730026077,0.4537133553907552
261,6,crude,die_noprog,0.364,0.30683266748143884,0.425283589981322
261,6,crude,rmpfst,0.4664509542381624,0.4313946199321058,0.501507288544219
261,6,crude,time2prog_gprog,0.4107012771246262,0.37370599191555726,0.4476965623336951
261,6,crude,time2prog_all,0.6888502743218022,0.6474804997608955,0.730220048882709
261,6,crude,illnessdur,0.2715484287998056,0.23300154397702505,0.3100953136225862
262,6,crude,pfs,0.096,0.06536188077872193,0.13886582521359728
262,6,crude,prog,0.508,0.4463779498739719,0.569379917334101
